常用频道,#genre#
桂林新闻综合,rtmp://202.103.242.190/live/TVxw
桂林公共频道,rtmp://202.103.242.190/live/TVgg
桂林科教旅游,rtmp://202.103.242.190/live/TVkj
桂林新闻综合,http://115.29.208.41/hls/gxglxw.m3u8
桂林公共频道,http://115.29.208.41/hls/gxglgg.m3u8
桂林科教,http://115.29.208.41/hls/gxglkj.m3u8
桂林全州,http://115.29.208.41/hls/gxglqz.m3u8
桂林兴安,http://115.29.208.41/hls/gxglxa.m3u8
崇左天等,http://115.29.208.41/hls/gxcztd.m3u8
崇左凭祥,http://115.29.208.41/hls/gxczpx.m3u8
百色隆林,http://115.29.208.41/hls/gxbsll.m3u8
百色田阳,http://115.29.208.41/hls/gxbsty.m3u8
百色乐业,http://115.29.208.41/hls/gxbsly.m3u8
来宾金秀,http://115.29.208.41/hls/gxlbjx.m3u8
玉林博白,http://115.29.208.41/hls/gxylbb.m3u8
玉林容县,http://115.29.208.41/hls/gxylrx.m3u8 
柳州鹿寨,http://115.29.208.41/hls/gxlzlz.m3u8
广西桂林新闻,https://pull.gltvs.com/live/glxw/playlist.m3u8?v=b0528684bf934e120e1c30fc808e6576&t=1796868188
广西桂林新闻,https://pull.gltvs.com:443/live/glxw/playlist.m3u8?v=b0528684bf934e120e1c30fc808e6576&t=1796868188
广西桂林公共,https://pull.gltvs.com/live/glgg/playlist.m3u8?v=654a4f856ca8f4ea018b85acb77572e8&t=2024816762
广西南宁影视娱乐,http://hls.nntv.cn/nnlive/YSYL_244.m3u8
广西南宁公共,http://hls.nntv.cn/nnlive/GGPD_24.m3u8
广西南宁文旅,https://hls.nntv.cn/nnlive/WLSH_24.m3u8
广西南宁新闻综合,https://hls.nntv.cn/nnlive/XWZH_24.m3u8
广西南宁都市生活,http://hls.nntv.cn/nnlive/WLSH_24.m3u8
广西融水电视台,https://live.gxrb.com.cn/gx/rongshui/index.m3u8
横州电视台,http://live.nnnews.net/video/s10004-hzstv-hd/index.m3u8
广州南国都市,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=babbcbacdbcf13a3311a264e4dd66b8d&txTime=191b60b41a7
南国都市频道,http://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=140110ae3d6c936a77f94c4f4d85b0d3&txTime=18d57929bd4
南国都市频道1,http://php.jdshipin.com:8880/gztv.php?id=shenghuo
